"id","seccion","requisito","fuente_archivo_linea","riesgo","capa","precondiciones","entrada","fallo_inyectado","resultado_esperado","efectos_permitidos","efectos_prohibidos","metodo_verificacion","tipo_prueba","dimension_recursos","requiere_presupuesto","repeticiones_planeadas","estado","evidencia","notas"
"A-001","A","tipo de uso ""comercio"" genera agent válido","api/src/agents/agent-catalog.ts:24","bajo","unit","dto válido con tipoUso=comercio","GenerateAgentDto tipoUso=comercio","","Agent persistido con systemPrompt y allowedActions no vacíos","","","agents.service.spec.ts existente + adversarial nuevo","determinista_offline","","false","1","implementado","api/src/agents/agents.service.spec.ts",""
"A-002","A","los 6 tipoUso del catálogo generan sin error","api/src/agents/agent-catalog.ts:24","bajo","unit","","comercio|consultorio|reuniones|visitas|personal|otro","","6/6 generan Agent válido","","","it.each sobre TIPOS_USO","determinista_offline","","false","1","implementado","api/src/agents/adversarial/generacion-agentes.spec.ts",""
"A-003","A","nombre con tildes/Unicode/emoji no rompe la generación","api/src/agents/agents.types.ts:39-42","medio","unit","","nombreTitular=""Estudio \""La Ñata\"" 💇‍♀️ & Cía""","","valida y persiste sin mutilar el string","","","expect systemPrompt contiene el nombre normalizado","determinista_offline","","false","1","implementado","api/src/agents/agents.controller.spec.ts",""
"A-004","A","nombres parecidos no colisionan en persistencia","api/src/agents/agents.service.ts:142-146","bajo","unit","","""Dra. Ana"" vs ""Dra Ana"" en dos userId distintos","","upsert por userId, sin mezclar configs","","","expect upsert where:{userId} distinto por caso","determinista_offline","","false","1","implementado","api/src/agents/adversarial/generacion-agentes.spec.ts",""
"A-005","A","0 tipos de evento rechazado antes de llamar OpenRouter","api/src/agents/agents.types.ts:47-49","medio","unit","","tiposEvento=[]","","400 ArrayMinSize, cero llamadas a chat()","","llamada a OpenRouter","expect chat not called + 400","determinista_offline","","false","1","implementado","api/src/agents/agents.types.spec.ts",""
"A-006","A","1 tipo de evento (mínimo válido) genera ok","api/src/agents/agents.types.ts:48","bajo","unit","","tiposEvento con 1 elemento","","200/Agent creado","","","expect ok","determinista_offline","","false","1","implementado","api/src/agents/agents.types.spec.ts",""
"A-007","A","20 tipos de evento (máximo) generan ok, ya cubierto","api/src/agents/agents.types.ts:49","medio","unit","","tiposEvento con 20 elementos","","200/Agent creado, prompt nombra ≥80%","","","agents.controller.spec.ts CINCO_PROPIOS extendido","determinista_offline","","false","1","implementado","api/src/agents/agents.controller.spec.ts",""
"A-008","A","21 tipos de evento (máximo+1) rechazado antes de llamar OpenRouter","api/src/agents/agents.types.ts:49","medio","unit","","tiposEvento con 21 elementos","ArrayMaxSize excedido","400, cero llamadas a chat()","","llamada a OpenRouter","expect chat not called + 400","determinista_offline","","false","1","implementado","api/src/agents/agents.types.spec.ts",""
"A-009","A","tipos de evento duplicados (mismo nombre) no se deduplican por el DTO","api/src/agents/agents.types.ts:23-33","bajo","unit","","dos tipos ""Corte"" duplicados","","pasa validación (no hay regla anti-duplicado); documentado como hueco","","","expect 200 + nota de hueco","determinista_offline","","false","1","implementado","api/src/agents/adversarial/generacion-agentes.spec.ts","no hay regla de negocio contra duplicados; no se agrega sin autorización"
"A-010","A","duracionMin negativa rechazada","api/src/agents/agents.types.ts:29-32","medio","unit","","duracionMin=-5","Min(5) violado","400 antes de generar","","","expect chat not called + 400","determinista_offline","","false","1","implementado","api/src/agents/agents.types.spec.ts",""
"A-011","A","duracionMin=0/null rechazada","api/src/agents/agents.types.ts:29-32","medio","unit","","duracionMin=0 y null","","400 (Min(5) / IsInt)","","","expect 400","determinista_offline","","false","1","implementado","api/src/agents/agents.types.spec.ts",""
"A-012","A","duracionMin=480 (límite) aceptada, 481 rechazada","api/src/agents/agents.types.ts:31","bajo","unit","","duracionMin=480 y 481","","480 ok, 481 → 400","","","expect ok / 400","determinista_offline","","false","1","implementado","api/src/agents/agents.types.spec.ts",""
"A-013","A","horaDesde >= horaHasta rechazado antes de llamar OpenRouter","api/src/agents/agents.service.ts:119-122","alto","unit","","horaDesde=18:00 horaHasta=09:00","","400, cero llamadas a chat()","","llamada a OpenRouter","ya cubierto","determinista_offline","","false","1","implementado","api/src/agents/agents.service.spec.ts",""
"A-014","A","horaDesde/horaHasta con formato inválido (25:00, ""9:00"") rechazado","api/src/agents/agents.types.ts:54,57","medio","unit","","horaDesde=""25:00""","","400 Matches(HORA_HHMM)","","","expect 400","determinista_offline","","false","1","implementado","api/src/agents/agents.types.spec.ts",""
"A-015","A","JSON truncado a mitad de campo se reintenta y recupera","api/src/agents/agents.service.ts:186-204","alto","unit","","chat() devuelve '{""systemPrompt"": ""Hola' luego JSON válido","JSON truncado en 1er intento","reintento con mensaje correctivo, persiste config del 2do intento","","","expect chat called 2 veces, Agent con config final","determinista_offline","","false","1","implementado","api/src/agents/agents.service.spec.ts",""
"A-016","A","JSON envuelto en fences ```json se parsea igual","api/src/agents/agents.service.ts:97-102","bajo","unit","","content=""```json\n{...}\n```""","","parsea sin reintento","","","ya cubierto","determinista_offline","","false","1","implementado","api/src/agents/agents.service.spec.ts",""
"A-017","A","acción fuera del catálogo en allowedActions rechaza sin persistir","api/src/agents/agents.service.ts:255-258","alto","unit","","allowedActions=[""borrar_todo""]","acción inventada","GeneracionInvalidaError, reintento, si persiste falla 502","","Agent con acción fuera de ACCIONES_IDS","ya cubierto","determinista_offline","","false","1","implementado","api/src/agents/agents.service.spec.ts",""
"A-018","A","allowedActions vacío rechaza (no se puede ni consultar agenda)","api/src/agents/agents.service.ts:261-264","alto","unit","","allowedActions=[]","","GeneracionInvalidaError","","","ya cubierto","determinista_offline","","false","1","implementado","api/src/agents/agents.service.spec.ts",""
"A-019","A","timeout de generación NO se reintenta (duplicaría la espera)","api/src/agents/agents.service.ts:177-180","alto","unit","","chat() lanza OpenRouterTimeoutError","timeout","502 directo, chat llamado 1 sola vez","","","ya cubierto","determinista_offline","","false","1","implementado","api/src/agents/agents.service.spec.ts",""
"A-020","A","fallo repetido conserva el Agent anterior (upsert no corre)","api/src/agents/agents.service.ts:118-126","alto","unit","","2 fallos consecutivos sobre un userId con Agent previo","2x OpenRouterError","502, prisma.agent.upsert nunca llamado, config previa intacta","","Agent parcialmente sobrescrito","expect upsert not called tras 502","determinista_offline","","false","1","implementado","api/src/agents/adversarial/generacion-agentes.spec.ts",""
"A-021","A","catálogo de agent-catalog.ts y el del wizard web no divergen","api/src/agents/agent-catalog.ts:24 vs web/src/app/contanos/useOnboarding.ts:5-24","medio","unit","","lectura de ambos archivos como texto","","mismos TIPOS_USO en ambos (hoy son 2 copias manuales)","","","test que falla a propósito si divergen","determinista_offline","","false","1","ejecutado_pass","api/src/agents/adversarial/catalogo-drift.spec.ts","sin drift hoy (test pasa); queda como regresión permanente para detectar drift futuro"
"B-001","B","consultar_disponibilidad dentro de la ventana se responde desde el snapshot","api/src/conversation/graph/nodes/validacion.node.ts:241-246","medio","unit","","","","0 llamadas extra a freeBusy","","","ya cubierto","determinista_offline","","false","1","implementado","api/src/conversation/graph/graph.spec.ts",""
